Gene,Module,Log2FC,Adj_PValue,Regulation
CLDN10,module_6,2.3383359629976663,0.006765418260086795,Up
KCTD12,module_6,1.4854512287671022,0.014195392459178734,Up
CCL4,module_6,6.789882769940729,0.033637716222503916,Up
HS3ST3B1,module_6,3.411829511687373,0.03281392988391065,Up
KALRN,module_6,-1.077515666756824,0.0004092750886235738,Down
C1QTNF4,module_6,2.633394888736305,0.011809848648402486,Up
OLR1,module_6,4.271777008118138,0.013064467853760644,Up
ACBD7,module_6,1.6595466388445435,0.031703908115472294,Up
TCF12,module_6,1.2839398267169164,0.0068160514266317135,Up
CSRP2,module_6,1.5628298681051969,0.03831133303353059,Up
C4orf19,module_6,2.7047971751798343,0.03879535063218386,Up
TMEM176A,module_6,1.8703641188238953,0.035002696471420396,Up
MUC16,module_6,2.978755038965572,0.0296092305288791,Up
GRIN2A,module_6,1.097080453112396,0.0050797180844885,Up
PAX6,module_6,2.0146325384972372,0.04614032721941002,Up
KCNIP4,module_6,1.660959459373938,8.514608385826583e-10,Up
EGFL6,module_6,5.206393329926466,0.027418653732670727,Up
ERLIN1,module_6,1.31525035321859,0.039074485268376216,Up
CNFN,module_6,2.1442056817104187,0.04614032721941002,Up
HYCC1,module_6,-1.0341210352087697,0.00014607642238637723,Down
CATSPERG,module_6,-1.3312145882112674,0.015654953445753458,Down
QSER1,module_6,1.2140334221311768,0.02774654427257587,Up
LRP2,module_6,2.7022408798004034,0.00031326535920337447,Up
CDK15,module_6,2.665929787590089,0.049983079926135036,Up
AKR1C2,module_6,1.110007771473845,0.013171928056102983,Up
SPINT1,module_6,4.449819381473745,1.459840563955259e-05,Up
ADGRA3,module_6,1.8003272707768208,0.003679914591344129,Up
POC1B,module_6,1.5830025084623922,0.0010974549370599447,Up
JAM2,module_6,2.17858886111523,0.001684508362837574,Up
HBD,module_6,-5.667522402315691,0.024361716205124645,Down
HLA-B,module_6,1.887353641069748,0.011071248264338354,Up
SELPLG,module_6,2.835588379046354,0.029063711978063678,Up
TPD52L1,module_6,1.6227050948419346,0.04776314057915419,Up
PRL,module_6,-4.652942567883155,2.114368669388515e-05,Down
GSG1L,module_6,-1.2697334777096236,7.620318586322377e-07,Down
EFEMP1,module_6,2.3220363808637003,2.1410844555098043e-05,Up
