Gene,Module,Log2FC,Adj_PValue,Regulation,N_CoExpressed_Genes,Mean_TOM_Score,Max_TOM_Score,Module_Membership
EHF,module_6,5.000190562537752,4.487752212690243e-07,Up,24,0.11079048364845179,0.14635415136532956,0.06339501757799403
WDR72,module_6,3.9533714194773224,0.0033225188075078744,Up,24,0.10999578622591011,0.13362674286676574,-0.041569212958500495
MCUB,module_6,2.569668315738136,9.244732582360742e-05,Up,24,0.10967177811613955,0.13642389198193786,-0.253987716560785
RXRG,module_6,4.855940563754681,0.0036802315835174153,Up,23,0.12327908050455971,0.1608323945344953,-0.0602013369419277
FKBP5,module_6,1.7970227906803464,0.012976925817439556,Up,23,0.11989185275147633,0.14680355479958435,-0.31327099050873386
PRMT8,module_6,-1.0411156975358808,0.009324957567575143,Down,23,0.118740065394281,0.15756847610791905,0.5061053219587088
SDC4,module_6,1.9129447516889895,0.022694648179193595,Up,23,0.11603282736502349,0.13840948900659497,-0.5291269579402192
CLIC6,module_6,5.400571655058776,0.0009182498867068786,Up,23,0.11382055604598784,0.14165394627094263,0.008715392788634799
CNTN4,module_6,-1.0349529735397918,0.04301289935881772,Down,22,0.12321119324146648,0.17623638005145043,0.6297907281735438
AFF2,module_6,-1.0622949131683894,0.032850592366170196,Down,22,0.1175806765506807,0.1487651854021815,0.42419580826575065
GNG4,module_6,2.023468385588396,0.01768978885583084,Up,22,0.11579670747213053,0.14585022555206512,-0.19158889940809176
ANKRD34C,module_6,-1.380228878292404,0.0002449635309892626,Down,22,0.11458103206052846,0.14776202722890194,-0.2604314574202808
CA12,module_6,2.6555273664748773,4.7109696219623056e-07,Up,22,0.1135102168242796,0.14487587298114127,-0.31518814277255314
MYO15B,module_6,2.0015398876835944,0.03858781876759223,Up,22,0.10821810337025561,0.13279988707988225,-0.20345327088048293
SEZ6,module_6,-1.3095734140306918,0.04492747653709313,Down,21,0.12758262470401008,0.2212280925037021,-0.4564370958462719
MAFB,module_6,2.853162723730894,0.02038784832881133,Up,21,0.11642799314689599,0.17101789878908574,-0.2061544122292175
BMP2,module_6,1.1717613695866012,0.020772761562247555,Up,21,0.11046060267793398,0.13091926249775546,0.055815670029177394
RNASE4,module_6,3.182118771298458,0.029278723944590496,Up,20,0.12801490565106,0.17852855218932487,-0.4007750701823572
C8orf88,module_6,1.8067822467178574,0.013950619537531682,Up,20,0.12030956232233014,0.15341163798519816,0.1634651814113633
DGKB,module_6,1.5543178683805041,0.006673335690610032,Up,20,0.11717842614897296,0.14535690510083854,-0.3991039442951896
OLR1,module_6,4.271777008118138,0.013064467853760644,Up,20,0.11709879033570021,0.14576982882704587,-0.3197147162821379
GSTT2B,module_6,4.279536549602044,0.0025231500701372927,Up,20,0.11698582026424587,0.14437746748143288,0.24457833244847765
SLC29A3,module_6,1.7833958384869746,0.005253846928615774,Up,20,0.11672437460892796,0.1376691440203537,-0.36495755369639116
ONECUT2,module_6,3.3660716149471996,0.003031512924272335,Up,20,0.11662182630422875,0.1393972410137158,-0.4517114859001998
STK10,module_6,1.43463217315572,0.030702613473108414,Up,20,0.11528806162252436,0.13850031169709573,-0.18038641432229355
DGKG,module_6,1.7892520747514922,0.043053204171423776,Up,20,0.11468956587075067,0.13191254598349822,0.21999171923722982
ABCA1,module_6,1.4612160718085299,2.4629498146181224e-05,Up,20,0.11268556801820942,0.14016615284224437,-0.13489004601191973
TM4SF18,module_6,3.8704238727873115,0.018788753960473623,Up,20,0.11217741454693257,0.13054858949754222,-0.19254769636646202
CNR1,module_6,2.550274096755567,0.0003304057754500393,Up,20,0.11130978905773108,0.14008825008107073,0.21040417922945795
PARP10,module_6,4.250850123742697,0.002593559576306888,Up,20,0.10996151069979546,0.14321059241635178,-0.2393294910869426
CNPY1,module_6,1.9575185164230073,0.029278723944590496,Up,19,0.12079286028019996,0.19324221526928015,0.4580821353093023
THBS4,module_6,1.6331618997122401,0.026917087238204945,Up,19,0.11978478466397893,0.15353536519017505,-0.14584108295206658
ETNK2,module_6,1.6476495151478117,0.031703908115472294,Up,19,0.11977275594076105,0.14958025564946806,-0.3248415499196804
CBLN4,module_6,-2.2732688889553256,0.03831133303353059,Down,19,0.11452864317945663,0.13605355207093275,0.27921020152177667
VRK2,module_6,1.07957645063653,0.004509939955834739,Up,19,0.11437924292797001,0.1489547801003072,0.15710632936476548
ADRA1A,module_6,3.2947717345074734,0.0001572648802898124,Up,19,0.11289384194893068,0.12873749589836064,-0.16323921871944477
IGSF11,module_6,1.9196074578995734,0.004509939955834739,Up,19,0.11211674567040437,0.12761005197092468,0.021742223800011368
BTN3A3,module_6,1.9704402667809642,0.01019940645524703,Up,19,0.10999787946750593,0.1367506431743184,-0.34251650218950025
HLA-B,module_6,1.887353641069748,0.011071248264338354,Up,18,0.12117319835350421,0.1615867746001513,0.10466476205501823
NGB,module_6,5.862244755810076,0.04301289935881772,Up,18,0.12007217790137492,0.1546581650615731,0.07206172257097052
THAP2,module_6,1.4470805128556339,0.012368465612325878,Up,18,0.117744397611428,0.18005459543906782,0.3421001737196929
DSP,module_6,2.641724395390261,0.03423374801355049,Up,18,0.11127698742662837,0.1340839913136377,-0.33553958645486387
