Gene,Module
PDE10A,module_6
SRCAP,module_6
PPP1R13L,module_6
POLR1G,module_6
CCL27,module_6
HPSE,module_6
RUVBL2,module_6
CYP46A1,module_6
LILRB1,module_6
SLC26A1,module_6
ADAM28,module_6
SLC22A7,module_6
ARID5A,module_6
TSPAN9,module_6
USP20,module_6
USP19,module_6
CEACAM7,module_6
HCST,module_6
CD300C,module_6
ME3,module_6
NMU,module_6
FGL2,module_6
CFHR4,module_6
CEACAM8,module_6
C1QL1,module_6
MRPS30,module_6
WDR3,module_6
PROKR1,module_6
GPR83,module_2
PPARGC1A,module_6
MALT1,module_6
LYVE1,module_6
YIF1A,module_6
CPSF4,module_6
JTB,module_6
ADCY3,module_6
RUNDC3A,module_6
DHRS4,module_6
MTMR11,module_6
BLCAP,module_6
MAN1A2,module_6
TRAFD1,module_6
TXNL4A,module_6
SUGT1,module_6
GADD45G,module_6
EDAR,module_2
TCERG1,module_6
MAGED2,module_6
BTNL3,module_6
EHMT2,module_6
COPS8,module_6
RNPS1,module_6
FASTK,module_6
SUB1,module_6
SMPDL3A,module_6
DBF4,module_6
RALBP1,module_6
PRDX3,module_6
GPR75,module_6
EHD1,module_6
AFG3L2,module_6
POP1,module_6
PRSS21,module_6
MSL3,module_6
C11orf58,module_6
KDELR1,module_6
SF3A3,module_6
AP3M2,module_6
STARD3,module_6
BTG3,module_6
CBX1,module_6
SEC61B,module_6
TOMM34,module_1
PDIA5,module_6
OS9,module_6
TMED2,module_6
LMAN2,module_6
ERP29,module_6
MLLT11,module_6
STIP1,module_6
IFI44L,module_6
ACOT2,module_6
RAB40B,module_6
EBNA1BP2,module_6
HTD2,module_6
YWHAQ,module_6
ASCC3,module_6
ADIRF,module_6
UQCR11,module_6
CLP1,module_6
FERMT2,module_6
COPS6,module_6
RAB32,module_6
MAPRE2,module_6
GCN1,module_6
COPS5,module_6
IMMT,module_6
SLC38A3,module_6
SDS,module_6
SLC27A5,module_6
SLC27A3,module_6
SLC27A2,module_6
KIF2C,module_6
LILRB4,module_4
CCDC85B,module_6
CFAP298-TCP10L,module_6
CHAD,module_6
GLIPR1,module_6
P3R3URF-PIK3R3,module_6
TMSB15A,module_6
KDELR2,module_6
KDELR3,module_6
ATF7,module_6
SNRNP27,module_6
TMED1,module_6
LIAS,module_6
RCBTB2,module_6
IFT27,module_6
RAB35,module_6
TDRKH,module_6
LILRA1,module_6
LILRB3,module_6
LILRA2,module_6
RBPMS,module_6
RAB31,module_6
ADAP1,module_6
DSTN,module_6
RIPK3,module_6
STON1,module_6
RCC1,module_6
PIM2,module_6
B4GAT1,module_6
MID2,module_6
TENT4A,module_6
SLC35D2,module_6
ADRM1,module_6
CHD1,module_6
OGFR,module_6
ZPBP,module_6
ABHD2,module_6
WWP1,module_6
EEF1AKMT4,module_6
EEF1AKMT4-ECE2,module_6
ASDURF,module_1
CHD2,module_6
WWP2,module_6
DUS4L,module_6
CNTRL,module_6
UBE2C,module_6
SNRNP35,module_6
DEPP1,module_6
CYB561D2,module_6
CHD3,module_6
DUSP14,module_6
TOPBP1,module_2
STMN2,module_6
TPPP,module_6
HSF2BP,module_6
TRIOBP,module_6
RER1,module_6
DNAJB4,module_6
C17orf113,module_6
ESM1,module_6
DIDO1,module_6
ADAM29,module_6
WDR5,module_6
SPACA9,module_6
ADAMTS13,module_1
CACFD1,module_6
ADAMTS8,module_6
ADAMTS5,module_6
NUP42,module_6
PRSS23,module_6
PTPN21,module_6
ADCY5,module_6
HNRNPUL1,module_6
ATE1,module_6
RPP14,module_6
KRR1,module_6
KATNA1,module_6
CSNKA2IP,module_2
PRDM5,module_6
PRDM4,module_6
CHEK1,module_6
HIBADH,module_6
CIT,module_6
EMILIN1,module_6
BTN3A2,module_6
LYNX1-SLURP2,module_6
BTN3A1,module_6
FOXN3,module_6
BTN2A1,module_6
PTPRT,module_6
RCAN3,module_6
CD160,module_6
KIF3A,module_6
POLR3A,module_6
CHGA,module_6
ZWINT,module_6
CAPN10,module_6
KPTN,module_6
CDC42EP1,module_6
SLC7A9,module_6
PWP1,module_6
TBC1D8,module_6
CHGB,module_6
CDC37,module_6
IL1RAPL1,module_6
PKIG,module_6
KAT7,module_6
DMC1,module_6
PLAAT3,module_6
GLMN,module_6
HHLA2,module_6
BVES,module_6
CORO1A,module_6
WDR45,module_6
FICD,module_2
AP4S1,module_5
LDB3,module_6
PTP4A3,module_6
LSM6,module_6
RABL2B,module_6
RABL2A,module_6
CHI3L1,module_6
ERLIN2,module_6
ERG28,module_6
NUDT6,module_6
NUDT4,module_6
NUDT5,module_6
NUDT3,module_6
SOX21,module_6
FSTL1,module_6
PSIP1,module_6
WDHD1,module_6
CHI3L2,module_6
FAM107A,module_6
ADAMTS7,module_6
ADAMTS6,module_6
BAZ2A,module_6
BAZ1A,module_6
LZTS1,module_6
ZNF277,module_6
CHIT1,module_6
WDR6,module_6
TREH,module_6
MAP4K1,module_6
RASSF1,module_6
PKP3,module_6
CELF3,module_6
CHKA,module_6
CEP250,module_6
WBP4,module_6
ABCB8,module_6
SEC23IP,module_6
WIF1,module_6
SUPT16H,module_6
ANXA10,module_6
CHKB,module_6
CHEK2,module_6
POLI,module_6
CHM,module_6
FZD10,module_6
PLPBP,module_6
IRAK3,module_6
AKAP10,module_6
CHML,module_6
DUSP10,module_6
MRPL3,module_6
RPL35,module_6
GALNT6,module_6
GALNT5,module_6
RASSF8,module_6
CHN1,module_6
PRAF2,module_6
POLG2,module_6
HPS5,module_6
PDCD10,module_6
RNF139,module_6
RNF24,module_6
CA5B,module_6
EGLN3,module_6
CHN2,module_6
PADI2,module_6
PMF1,module_6
ZHX1,module_6
TMEM271,module_6
SHLD3,module_5
GPR176,module_6
CAVIN3,module_6
NXPH4,module_6
PRRT2,module_6
ERI2,module_6
NXPH3,module_6
SAT2,module_6
DTD2,module_6
NXPH2,module_6
GTF3C6,module_6
PACSIN2,module_6
MAN1B1,module_6
SLC6A14,module_6
HRH3,module_6
SNX18,module_6
DCTN3,module_6
FILIP1L,module_6
XPOT,module_6
MRAP2,module_6
RWDD2A,module_6
CMTM7,module_6
SP140,module_6
PXMP4,module_6
SNF8,module_6
DDX19B,module_6
NRM,module_6
GARIN5A,module_6
PRR4,module_6
RDH13,module_6
ATXN2L,module_6
USP18,module_6
KLHL2,module_6
IFT43,module_6
STX1B,module_6
SYNRG,module_6
TREX1,module_6
GLMP,module_6
KLF12,module_6
KLF8,module_6
CHRM1,module_6
SCN11A,module_6
POU6F2,module_6
FDX2,module_6
HOGA1,module_6
MGAT4B,module_6
CYP4F8,module_6
PNKP,module_6
WDR89,module_1
L3HYPDH,module_6
B4GALT7,module_6
TP53RK,module_6
SGF29,module_6
PHF21B,module_6
CHRM2,module_6
GLB1L3,module_6
NACC1,module_6
CFAP36,module_6
MED8,module_6
KTI12,module_6
ADCY7,module_6
RPUSD1,module_6
PLCD3,module_6
SLCO2B1,module_6
CHRM3,module_6
VPS45,module_6
MTFR2,module_6
LYPLA2,module_6
CDCA5,module_6
CD300A,module_6
AHNAK2,module_6
PARK7,module_6
COPE,module_6
SAAL1,module_6
IZUMO4,module_5
SCAMP4,module_6
ADAT3,module_6
CHST14,module_6
ECD,module_6
CHRM4,module_6
MGAT4A,module_6
GOLM2,module_6
GPN1,module_6
TIMM23B-AGAP6,module_6
TMC6,module_6
KIF12,module_6
MISP3,module_6
SLC46A1,module_6
C12orf57,module_6
DDX42,module_6
LARP4,module_6
VSIG4,module_6
GLCCI1,module_6
TMEM106A,module_6
SLC52A3,module_6
FKBP9,module_6
STK38,module_6
CHRM5,module_6
PHB2,module_6
ACOT7,module_6
PDAP1,module_6
TUSC2,module_6
EXOC3,module_6
GABARAP,module_6
U2AF2,module_6
EXOSC8,module_6
SFT2D1,module_6
SCRG1,module_6
TEX261,module_6
MGLL,module_6
TWF2,module_6
SMIM12,module_6
GABARAPL2,module_6
AZIN2,module_6
TMEM54,module_6
DERPC,module_6
TUBA3D,module_6
SYNPO,module_6
CHRNA2,module_6
HELQ,module_6
CHRNA3,module_6
CYP2U1,module_6
ADPRHL1,module_6
MFSD3,module_6
SDSL,module_6
TUBA3FP,module_6
CHRNA4,module_6
KLHDC7B,module_6
PIK3IP1,module_6
CHRNA5,module_6
HENMT1,module_6
FAM83F,module_6
SLC35A4,module_6
ZNF257,module_6
DTX2,module_6
CHRNA7,module_6
ADCY8,module_6
CHRNB1,module_3
TOE1,module_6
BUD23,module_6
TRIM9,module_6
TXNRD3,module_6
ARHGAP11A-SCG5,module_6
SLC2A13,module_6
CHRNB3,module_6
CHRNB4,module_6
EFHC1,module_6
CGB2,module_6
ABCF2-H2BK1,module_6
NLRP3,module_6
MAL2,module_6
TIRAP,module_6
ERMAP,module_6
LRRC37B,module_6
CHUK,module_6
CYGB,module_6
CARD16,module_6
PKD1L2,module_6
BTBD9,module_6
LMTK3,module_6
CSMD2,module_6
XKR4,module_1
GPRIN1,module_6
CSMD3,module_6
SLC25A25,module_6
STK11IP,module_6
TUBGCP5,module_6
KLHL32,module_6
FMNL2,module_6
ELFN2,module_6
TMEM132B,module_6
SLITRK1,module_6
ESCO1,module_6
CCDC85A,module_6
TMEM200A,module_6
RNF157,module_6
GALNT13,module_6
SORCS1,module_6
KLHL29,module_6
SCAND3,module_6
RHPN1,module_6
LENG8,module_6
PNMA5,module_6
PWWP2A,module_6
SMYD4,module_6
FHAD1,module_6
SLAMF6,module_6
OSBPL1A,module_6
OSBPL5,module_6
OSBPL6,module_6
OSBPL7,module_6
OSBPL8,module_6
OSBPL9,module_6
OSBPL10,module_6
OSBPL11,module_6
C1QTNF1,module_6
C1QTNF2,module_3
C1QTNF3,module_6
C1QTNF4,module_6
C1QTNF5,module_6
C1QTNF6,module_6
C1QTNF7,module_6
FBXO32,module_6
